team0,team1,team0_score,team1_score,ot,ot_time,team0_pl,team1_pl,game_num,player_num,time,region,team0_match_score,team1_match_score,team0_win,team1_win,goals_scored
G2 Esports,Uva,2.0,1.0,True,1:19,"['JKnaps', 'Mile', 'Rizzo']","['fAsi', 'ianpinheiro', 'math']",1,3,"May 21, 2020 - 15:00 PDT",North America,3,0,True,False,3.0
G2 Esports,Uva,2.0,0.0,False,0:00,"['Chicago', 'Mile']","['ianpinheiro', 'math']",2,2,"May 21, 2020 - 15:00 PDT",North America,3,0,True,False,2.0
G2 Esports,Uva,8.0,3.0,False,0:00,['Mile'],['ianpinheiro'],3,1,"May 21, 2020 - 15:00 PDT",North America,3,0,True,False,11.0
Jamal Jabary,Flight,2.0,1.0,False,0:00,"['Lj', 'Spyder', 'Toastie']","['Aeon', 'Sea-Bass', 'rapid']",1,3,"May 21, 2020 - 15:00 PDT",North America,3,1,True,False,3.0
Jamal Jabary,Flight,3.0,2.0,False,0:00,"['Lj', 'dreaz']","['Aeon', 'rapid']",2,2,"May 21, 2020 - 15:00 PDT",North America,3,1,True,False,5.0
Jamal Jabary,Flight,4.0,6.0,False,0:00,['dreaz'],['rapid'],3,1,"May 21, 2020 - 15:00 PDT",North America,3,1,False,True,10.0
Jamal Jabary,Flight,2.0,1.0,True,4:17,"['Lj', 'Spyder', 'Toastie']","['Aeon', 'Sea-Bass', 'rapid']",4,3,"May 21, 2020 - 15:00 PDT",North America,3,1,True,False,3.0
72 Pin Connector,Warriors International,0.0,2.0,False,0:00,"['Demo', 'Jacob', 'LionBlaze']","['Buddy', 'JWismont', 'Stokelyy']",1,3,"May 21, 2020 - 15:00 PDT",North America,3,1,False,True,2.0
72 Pin Connector,Warriors International,4.0,3.0,False,0:00,"['Jacob', 'LionBlaze']","['Buddy', 'JWismont']",2,2,"May 21, 2020 - 15:00 PDT",North America,3,1,True,False,7.0
72 Pin Connector,Warriors International,17.0,5.0,False,0:00,['LionBlaze'],['Buddy'],3,1,"May 21, 2020 - 15:00 PDT",North America,3,1,True,False,22.0
