player,country,number,team,url,region
Rizzo,United States,1,G2 Esports,/rocketleague/G2_Esports,North America
JKnaps,Canada,2,G2 Esports,/rocketleague/G2_Esports,North America
Chicago,United States,3,G2 Esports,/rocketleague/G2_Esports,North America
Mile,United States,4,G2 Esports,/rocketleague/G2_Esports,North America
Jahzo,United States,C,G2 Esports,/rocketleague/G2_Esports,North America
Kronovi,United States,1,Rogue,/rocketleague/Rogue,North America
Firstkiller,United States,2,Rogue,/rocketleague/Rogue,North America
Turinturo,United States,3,Rogue,/rocketleague/Rogue,North America
Sypical,United States,1,Spacestation Gaming,/rocketleague/Spacestation_Gaming,North America
AxB,Canada,2,Spacestation Gaming,/rocketleague/Spacestation_Gaming,North America
Arsenal,United States,3,Spacestation Gaming,/rocketleague/Spacestation_Gaming,North America
Chrome,United States,C,Spacestation Gaming,/rocketleague/Spacestation_Gaming,North America
Turbopolsa,Sweden,1,NRG Esports,/rocketleague/NRG_Esports,North America
jstn.,United States,2,NRG Esports,/rocketleague/NRG_Esports,North America
GarrettG,United States,3,NRG Esports,/rocketleague/NRG_Esports,North America
Sizz,United States,C,NRG Esports,/rocketleague/NRG_Esports,North America
Gyro.,United States,1,Pittsburgh Knights,/rocketleague/Pittsburgh_Knights,North America
AyyJayy,United States,2,Pittsburgh Knights,/rocketleague/Pittsburgh_Knights,North America
AlRaz,United States,3,Pittsburgh Knights,/rocketleague/Pittsburgh_Knights,North America
Moopy,United States,C,Pittsburgh Knights,/rocketleague/Pittsburgh_Knights,North America
Squishy,Canada,1,Cloud9,/rocketleague/Cloud9,North America
Torment,United States,2,Cloud9,/rocketleague/Cloud9,North America
Gimmick,United States,3,Cloud9,/rocketleague/Cloud9,North America
Fireburner,United States,C,Cloud9,/rocketleague/Cloud9,North America
mist,United States,1,Team Envy,/rocketleague/Team_Envy,North America
Atomic,United States,2,Team Envy,/rocketleague/Team_Envy,North America
retals,United States,3,Team Envy,/rocketleague/Team_Envy,North America
furane,United States,C,Team Envy,/rocketleague/Team_Envy,North America
Satthew,United States,1,Susquehanna Soniqs,/rocketleague/Susquehanna_Soniqs,North America
Shock,United States,2,Susquehanna Soniqs,/rocketleague/Susquehanna_Soniqs,North America
Dappur,United States,3,Susquehanna Soniqs,/rocketleague/Susquehanna_Soniqs,North America
Spoodah,United States,S,Susquehanna Soniqs,/rocketleague/Susquehanna_Soniqs,North America
LionBlaze,United States,1,72 Pin Connector,/rocketleague/72_Pin_Connector,North America
Jacob,United States,2,72 Pin Connector,/rocketleague/72_Pin_Connector,North America
Demo,United States,3,72 Pin Connector,/rocketleague/72_Pin_Connector,North America
Kai99jr,Canada,S,72 Pin Connector,/rocketleague/72_Pin_Connector,North America
Josh,United States,C,72 Pin Connector,/rocketleague/72_Pin_Connector,North America
MaJicBear,United States,1,Affinity,/rocketleague/Affinity,North America
jordan,Canada,2,Affinity,/rocketleague/Affinity,North America
percy.,United States,3,Affinity,/rocketleague/Affinity,North America
creamz,Canada,S,Affinity,/rocketleague/Affinity,North America
Karma,United States,1,Charlotte Phoenix,/rocketleague/Charlotte_Phoenix,North America
Shadow,United States,2,Charlotte Phoenix,/rocketleague/Charlotte_Phoenix,North America
WondaMike,United States,3,Charlotte Phoenix,/rocketleague/Charlotte_Phoenix,North America
Jimmer,United States,C,Charlotte Phoenix,/rocketleague/Charlotte_Phoenix,North America
hockser,United States,1,eUnited,/rocketleague/EUnited,North America
ayjacks,United States,2,eUnited,/rocketleague/EUnited,North America
Memory,United States,3,eUnited,/rocketleague/EUnited,North America
JPow,United States,1,Stromboli,/rocketleague/Stromboli,North America
AlphaKep,United States,2,Stromboli,/rocketleague/Stromboli,North America
hec,United States,3,Stromboli,/rocketleague/Stromboli,North America
Trey,Canada,S,Stromboli,/rocketleague/Stromboli,North America
Freshness,Canada,1,Mirage,/rocketleague/Mirage,North America
Luke,United States,2,Mirage,/rocketleague/Mirage,North America
Comm,United States,3,Mirage,/rocketleague/Mirage,North America
mectos,United States,1,Plot Twist,/rocketleague/Plot_Twist,North America
Taroco,Canada,2,Plot Twist,/rocketleague/Plot_Twist,North America
sosa,Canada,3,Plot Twist,/rocketleague/Plot_Twist,North America
grills,Canada,S,Plot Twist,/rocketleague/Plot_Twist,North America
Sadjunior,Canada,C,Plot Twist,/rocketleague/Plot_Twist,North America
Spyder,United States,1,Jamal Jabary,/rocketleague/Jamal_Jabary,North America
Toastie,United States,2,Jamal Jabary,/rocketleague/Jamal_Jabary,North America
Lj.,United States,3,Jamal Jabary,/rocketleague/Jamal_Jabary,North America
dreaz,United States,4,Jamal Jabary,/rocketleague/Jamal_Jabary,North America
rapid,United States,1,Flight,/rocketleague/Flight,North America
Sea-Bass,United States,2,Flight,/rocketleague/Flight,North America
Aeon,United States,3,Flight,/rocketleague/Flight,North America
Bob,United States,S,Flight,/rocketleague/Flight,North America
Base,Wales,C,Flight,/rocketleague/Flight,North America
kinseh,United States,1,Vision,/rocketleague/index.php?title=Vision&action=edit&redlink=1,North America
Radoko.,Canada,2,Vision,/rocketleague/index.php?title=Vision&action=edit&redlink=1,North America
BeastMode,United States,3,Vision,/rocketleague/index.php?title=Vision&action=edit&redlink=1,North America
TyNotTyler,United States,1,Legion,/rocketleague/index.php?title=Legion&action=edit&redlink=1,North America
Wonder,United States,2,Legion,/rocketleague/index.php?title=Legion&action=edit&redlink=1,North America
Allushin,Canada,3,Legion,/rocketleague/index.php?title=Legion&action=edit&redlink=1,North America
caard,Brazil,1,Ellevens Esports,/rocketleague/Ellevens_Esports,North America
tander,Brazil,2,Ellevens Esports,/rocketleague/Ellevens_Esports,North America
CaioTG1,Brazil,3,Ellevens Esports,/rocketleague/Ellevens_Esports,North America
BRUNOVISQUII,Brazil,4,Ellevens Esports,/rocketleague/Ellevens_Esports,North America
Haberkamper,Brazil,1,Avidity Esports,/rocketleague/Avidity_Esports,North America
FirefoxD,Brazil,2,Avidity Esports,/rocketleague/Avidity_Esports,North America
renaN,Brazil,3,Avidity Esports,/rocketleague/Avidity_Esports,North America
Jato,Brazil,C,Avidity Esports,/rocketleague/Avidity_Esports,North America
Porklet,United States,1,Divine,/rocketleague/Divine,North America
Dino,United States,2,Divine,/rocketleague/Divine,North America
JRuss,United States,3,Divine,/rocketleague/Divine,North America
celloh,United States,S,Divine,/rocketleague/Divine,North America
Andy,United States,1,Double Tap,/rocketleague/index.php?title=Double_Tap&action=edit&redlink=1,North America
Delta,United States,2,Double Tap,/rocketleague/index.php?title=Double_Tap&action=edit&redlink=1,North America
Jbot,United States,3,Double Tap,/rocketleague/index.php?title=Double_Tap&action=edit&redlink=1,North America
Thundah,United States,4,Double Tap,/rocketleague/index.php?title=Double_Tap&action=edit&redlink=1,North America
Buddy,United States,1,Warriors International,/rocketleague/Warriors_International,North America
JWismont,United States,2,Warriors International,/rocketleague/Warriors_International,North America
Stokelyy,United States,3,Warriors International,/rocketleague/Warriors_International,North America
navystriker,United States,S,Warriors International,/rocketleague/Warriors_International,North America
Skyzz,United States,1,Enormity eSports,/rocketleague/Enormity_eSports,North America
Oath,United States,2,Enormity eSports,/rocketleague/Enormity_eSports,North America
AdverseMeteor,United States,3,Enormity eSports,/rocketleague/Enormity_eSports,North America
Melody,United States,S,Enormity eSports,/rocketleague/Enormity_eSports,North America
ZPS.,United States,1,fall,/rocketleague/index.php?title=Fall&action=edit&redlink=1,North America
2Piece,United States,2,fall,/rocketleague/index.php?title=Fall&action=edit&redlink=1,North America
Chronic,United States,3,fall,/rocketleague/index.php?title=Fall&action=edit&redlink=1,North America
kirii,United States,1,Team Meteor,/rocketleague/Team_Meteor,North America
Ahduhm,United States,2,Team Meteor,/rocketleague/Team_Meteor,North America
ostyn,United States,3,Team Meteor,/rocketleague/Team_Meteor,North America
Sharp,United States,4,Team Meteor,/rocketleague/Team_Meteor,North America
Nick,United States,C,Team Meteor,/rocketleague/Team_Meteor,North America
Forky,United States,1,sup,/rocketleague/Sup,North America
Daniel,United States,2,sup,/rocketleague/Sup,North America
money,United States,3,sup,/rocketleague/Sup,North America
Mijo.,United States,1,Momentum,/rocketleague/Momentum,North America
