Team,Game Type,Region,Wins,Games Played,GF,GA,Win Percentage,Losses
Endpoint,3,Europe,6,6,15,6,100,0
G2 Esports,3,North America,6,6,17,6,100,0
Oxygen Esports,3,Europe,4,4,12,6,100,0
Sup,3,North America,4,4,12,6,100,0
Renault Vitality,3,Europe,3,3,9,3,100,0
Spacestation Gaming,3,North America,3,3,12,5,100,0
Susquehanna Soniqs,3,North America,6,7,17,8,86,1
Team Envy,3,North America,6,7,21,9,86,1
Team BDS,3,Europe,4,5,12,9,80,1
Cloud9,3,North America,6,8,26,13,75,2
Momentum Shifters,3,Europe,3,4,6,4,75,1
Stromboli,3,North America,3,4,10,5,75,1
Nameless,3,Europe,5,7,19,15,71,2
Veloce Esports,3,Europe,5,7,18,8,71,2
Vision,3,North America,6,9,23,15,67,3
Celestial,3,Europe,4,6,18,13,67,2
EUnited,3,North America,4,6,11,10,67,2
Plot Twist,3,North America,4,6,13,12,67,2
Aeriality,3,Europe,2,3,5,3,67,1
Legion,3,North America,2,3,7,7,67,1
Totalschaden,3,Europe,2,3,4,3,67,1
Ellevens Esports,3,North America,3,5,12,9,60,2
Flying Nunchucks,3,Europe,3,5,8,7,60,2
NRG Esports,3,North America,3,5,7,8,60,2
Pittsburgh Knights,3,North America,3,5,11,6,60,2
Triple Trouble,3,Europe,3,5,9,9,60,2
Magnifico,3,Europe,4,7,14,12,57,3
Solary,3,Europe,4,8,18,16,50,4
Canyons,3,Europe,2,4,8,6,50,2
FC Barcelona,3,Europe,2,4,7,10,50,2
Story bud,3,Europe,2,4,9,8,50,2
Warriors International,3,North America,2,4,8,6,50,2
Team Singularity,3,Europe,4,9,15,12,44,5
Enormity eSports,3,North America,2,5,7,12,40,3
Jamal Jabary,3,North America,2,5,10,13,40,3
Rogue,3,North America,2,5,9,9,40,3
Sandrock Gaming,3,Europe,2,5,11,14,40,3
Stormtroopers,3,Europe,2,5,11,10,40,3
Dignitas,3,Europe,3,8,12,16,38,5
Divine,3,North America,3,8,13,16,38,5
Mirage,3,North America,2,6,9,12,33,4
Tree of a Kind,3,Europe,2,6,7,11,33,4
John MacDonald's Happy Meal,3,Europe,1,3,4,5,33,2
Servette Geneva Esports,3,Europe,1,3,7,10,33,2
Affinity,3,North America,2,7,10,22,29,5
Team Meteor,3,North America,2,7,11,21,29,5
Double Tap,3,North America,1,4,3,7,25,3
Fall,3,North America,1,4,7,8,25,3
Flight,3,North America,1,4,6,6,25,3
Look at Curry,3,North America,1,4,7,11,25,3
Almans,3,Europe,1,5,9,11,20,4
Sauce,3,Europe,1,5,8,16,20,4
Yer Maw,3,Europe,1,5,11,16,20,4
72 Pin Connector,3,North America,1,6,6,13,17,5
5Head,3,Europe,0,2,2,8,0,2
Uva,3,North America,0,2,2,6,0,2
Womped,3,Europe,0,2,3,5,0,2
3 Star Armada,3,North America,0,3,3,8,0,3
Avidity Esports,3,North America,0,3,5,9,0,3
Charlotte Phoenix,3,North America,0,3,6,15,0,3
Mousesports,3,Europe,0,3,2,9,0,3
Randoms,3,Europe,0,3,5,8,0,3
Team Shaky,3,Europe,0,3,3,12,0,3
Momentum,3,North America,0,4,6,14,0,4
Spacestation Gaming,2,North America,4,4,16,8,100,0
Stromboli,2,North America,4,4,25,12,100,0
72 Pin Connector,2,North America,3,3,10,6,100,0
Sandrock Gaming,2,Europe,3,3,20,5,100,0
Stormtroopers,2,Europe,3,3,12,6,100,0
Tree of a Kind,2,Europe,5,6,17,6,83,1
Veloce Esports,2,Europe,4,5,25,7,80,1
Team Singularity,2,Europe,6,8,35,16,75,2
Almans,2,Europe,3,4,13,14,75,1
